Threads,Points,Radius,Means,GenTime,ClassTime
2,10,5,5,0.012939,0.084961
2,100,5,5,0.007812,0.011963
2,100,5,50,0.008057,0.029053
2,100,50,5,0.007080,0.015869
2,100,50,50,0.008057,0.017822
2,1000,5,5,0.076904,0.133789
2,1000,5,50,0.077148,1.042969
2,1000,5,500,0.078857,1.186035
2,1000,50,5,0.077881,0.126953
2,1000,50,50,0.079102,0.971924
2,1000,50,500,0.077881,1.928955
2,1000,500,5,0.080078,0.117920
2,1000,500,50,0.078125,1.128906
2,1000,500,500,0.077881,1.933105
2,10000,5,5,0.903076,0.439941
2,10000,5,50,0.790039,19.475098
2,10000,5,500,0.781982,206.996826
2,10000,50,5,0.794922,1.832031
2,10000,50,50,0.781982,26.149170
2,10000,50,500,0.791016,196.947021
2,10000,500,5,0.783203,1.894043
2,10000,500,50,0.782959,16.365967
2,10000,500,500,0.792969,155.963135
2,100000,5,5,7.812012,11.930176
2,100000,5,50,7.802979,150.671143
2,100000,5,500,7.459961,8406.778809
2,100000,50,5,7.810059,5.552979
2,100000,50,50,7.805908,483.995850
2,100000,50,500,7.796143,8982.051025
2,100000,500,5,7.788086,8.418945
2,100000,500,50,7.779053,239.915039
2,100000,500,500,7.791016,8513.464111
2,1000000,5,5,72.038086,128.532959
2,1000000,5,50,72.458984,3566.465820
2,1000000,5,500,69.622803,104933.918945
2,1000000,50,5,71.819824,69.280029
2,1000000,50,50,71.550049,2457.748779
2,1000000,50,500,68.650879,103868.233887
2,1000000,500,5,69.841064,59.156006
2,1000000,500,50,72.759033,3271.930176
2,1000000,500,500,68.829102,104900.296875
4,10,5,5,0.001953,0.003906
4,100,5,5,0.008057,0.015137
4,100,5,50,0.008057,0.020020
4,100,50,5,0.008057,0.024170
4,100,50,50,0.008057,0.019043
4,1000,5,5,0.077881,0.102051
4,1000,5,50,0.078857,1.011230
4,1000,5,500,0.078125,1.180908
4,1000,50,5,0.079102,0.083008
4,1000,50,50,0.078125,0.750977
4,1000,50,500,0.079102,1.478027
4,1000,500,5,0.077881,0.058105
4,1000,500,50,0.077148,17.969971
4,1000,500,500,0.077881,2.162842
4,10000,5,5,0.781982,183.050049
4,10000,5,50,0.784912,17.535156
4,10000,5,500,0.789062,268.951172
4,10000,50,5,0.782959,1.343994
4,10000,50,50,0.787842,17.077148
4,10000,50,500,0.781982,192.229004
4,10000,500,5,0.781006,0.893066
4,10000,500,50,0.784912,16.684082
4,10000,500,500,0.777100,212.938965
4,100000,5,5,7.458008,52.737793
4,100000,5,50,7.796143,210.099854
4,100000,5,500,7.801025,8409.750000
4,100000,50,5,7.797852,6.114990
4,100000,50,50,7.790039,241.891113
4,100000,50,500,7.775146,7872.212891
4,100000,500,5,7.789062,6.683838
4,100000,500,50,7.455078,319.961914
4,100000,500,500,7.788086,8125.692139
4,1000000,5,5,69.489990,52.175049
4,1000000,5,50,72.613037,4013.340820
4,1000000,5,500,73.174072,101214.066162
4,1000000,50,5,72.074951,109.552002
4,1000000,50,50,71.360107,3469.464111
4,1000000,50,500,69.802979,105507.885986
4,1000000,500,5,65.309082,70.542969
4,1000000,500,50,72.625000,3300.217041
4,1000000,500,500,69.439941,101493.948975
8,10,5,5,0.001953,0.003906
8,100,5,5,0.008057,0.018066
8,100,5,50,0.008057,0.017090
8,100,50,5,0.008057,0.018066
8,100,50,50,0.007812,0.023926
8,1000,5,5,0.078857,0.094971
8,1000,5,50,0.079834,0.884033
8,1000,5,500,0.076904,2.068848
8,1000,50,5,0.081055,0.154053
8,1000,50,50,0.078125,0.743896
8,1000,50,500,0.078125,1.798096
8,1000,500,5,0.079102,0.071045
8,1000,500,50,0.083984,0.666992
8,1000,500,500,0.077881,1.332031
8,10000,5,5,0.778809,1.892822
8,10000,5,50,0.782959,20.226807
8,10000,5,500,0.783936,188.113037
8,10000,50,5,0.791016,0.457031
8,10000,50,50,0.787109,14.519043
8,10000,50,500,0.781982,248.945068
8,10000,500,5,0.779053,0.832031
8,10000,500,50,0.779053,17.922852
8,10000,500,500,0.780029,181.309082
8,100000,5,5,7.793945,11.434082
8,100000,5,50,7.774170,263.583984
8,100000,5,500,7.798096,8559.664062
8,100000,50,5,7.802979,16.883057
8,100000,50,50,7.800781,265.769043
8,100000,50,500,7.614014,8728.069092
8,100000,500,5,7.814941,13.302979
8,100000,500,50,8.608887,221.087158
8,100000,500,500,7.798096,8477.436035
8,1000000,5,5,68.663086,98.822998
8,1000000,5,50,72.369873,3838.113037
8,1000000,5,500,71.809082,98035.802002
8,1000000,50,5,71.969971,64.274902
8,1000000,50,50,72.629883,2250.785889
8,1000000,50,500,65.536865,93196.131104
8,1000000,500,5,71.767090,138.275879
8,1000000,500,50,71.869873,3102.357910
8,1000000,500,500,72.894043,93623.076172
